concentration,petri_dish,ant_ID,survival,censor
0,0_1,1,4,1
0,0_1,2,20,0
0,0_1,3,20,0
0,0_1,4,20,0
0,0_1,5,20,0
0,0_1,6,20,0
0,0_1,7,20,0
0,0_1,8,20,0
0,0_1,9,20,0
0,0_1,10,20,0
0,0_1,11,20,0
0,0_1,12,20,0
0,0_1,13,20,0
0,0_1,14,20,0
0,0_1,15,20,0
0,0_2,1,12,1
0,0_2,2,20,0
0,0_2,3,20,0
0,0_2,4,20,0
0,0_2,5,20,0
0,0_2,6,20,0
0,0_2,7,20,0
0,0_2,8,20,0
0,0_2,9,20,0
0,0_2,10,20,0
0,0_2,11,20,0
0,0_2,12,20,0
0,0_2,13,20,0
0,0_2,14,20,0
0,0_2,15,20,0
0,0_3,1,4,1
0,0_3,2,10,1
0,0_3,3,20,0
0,0_3,4,20,0
0,0_3,5,20,0
0,0_3,6,20,0
0,0_3,7,20,0
0,0_3,8,20,0
0,0_3,9,20,0
0,0_3,10,20,0
0,0_3,11,20,0
0,0_3,12,20,0
0,0_3,13,20,0
0,0_3,14,20,0
0,0_3,15,20,0
0,0_4,1,20,1
0,0_4,2,20,0
0,0_4,3,20,0
0,0_4,4,20,0
0,0_4,5,20,0
0,0_4,6,20,0
0,0_4,7,20,0
0,0_4,8,20,0
0,0_4,9,20,0
0,0_4,10,20,0
0,0_4,11,20,0
0,0_4,12,20,0
0,0_4,13,20,0
0,0_4,14,20,0
0,0_4,15,20,0
0.5,0.5_1,1,3,1
0.5,0.5_1,2,4,1
0.5,0.5_1,3,11,1
0.5,0.5_1,4,20,0
0.5,0.5_1,5,20,0
0.5,0.5_1,6,20,0
0.5,0.5_1,7,20,0
0.5,0.5_1,8,20,0
0.5,0.5_1,9,20,0
0.5,0.5_1,10,20,0
0.5,0.5_1,11,20,0
0.5,0.5_1,12,20,0
0.5,0.5_1,13,20,0
0.5,0.5_1,14,20,0
0.5,0.5_1,15,20,0
0.5,0.5_2,1,6,1
0.5,0.5_2,2,7,1
0.5,0.5_2,3,20,0
0.5,0.5_2,4,20,0
0.5,0.5_2,5,20,0
0.5,0.5_2,6,20,0
0.5,0.5_2,7,20,0
0.5,0.5_2,8,20,0
0.5,0.5_2,9,20,0
0.5,0.5_2,10,20,0
0.5,0.5_2,11,20,0
0.5,0.5_2,12,20,0
0.5,0.5_2,13,20,0
0.5,0.5_2,14,20,0
0.5,0.5_2,15,20,0
0.5,0.5_3,1,1,1
0.5,0.5_3,2,20,0
0.5,0.5_3,3,20,0
0.5,0.5_3,4,20,0
0.5,0.5_3,5,20,0
0.5,0.5_3,6,20,0
0.5,0.5_3,7,20,0
0.5,0.5_3,8,20,0
0.5,0.5_3,9,20,0
0.5,0.5_3,10,20,0
0.5,0.5_3,11,20,0
0.5,0.5_3,12,20,0
0.5,0.5_3,13,20,0
0.5,0.5_3,14,20,0
0.5,0.5_3,15,20,0
0.5,0.5_4,1,12,1
0.5,0.5_4,2,20,0
0.5,0.5_4,3,20,0
0.5,0.5_4,4,20,0
0.5,0.5_4,5,20,0
0.5,0.5_4,6,20,0
0.5,0.5_4,7,20,0
1,1_1,1,2,1
1,1_1,2,2,1
1,1_1,3,20,0
1,1_1,4,20,0
1,1_1,5,20,0
1,1_1,6,20,0
1,1_1,7,20,0
1,1_1,8,20,0
1,1_1,9,20,0
1,1_1,10,20,0
1,1_1,11,20,0
1,1_1,12,20,0
1,1_1,13,20,0
1,1_1,14,20,0
1,1_1,15,20,0
1,1_2,1,9,1
1,1_2,2,20,0
1,1_2,3,20,0
1,1_2,4,20,0
1,1_2,5,20,0
1,1_2,6,20,0
1,1_2,7,20,0
1,1_2,8,20,0
1,1_2,9,20,0
1,1_2,10,20,0
1,1_2,11,20,0
1,1_2,12,20,0
1,1_2,13,20,0
1,1_2,14,20,0
1,1_2,15,20,0
1,1_3,1,1,1
1,1_3,2,4,1
1,1_3,3,4,1
1,1_3,4,4,1
1,1_3,5,8,1
1,1_3,6,20,0
1,1_3,7,20,0
1,1_3,8,20,0
1,1_3,9,20,0
1,1_3,10,20,0
1,1_3,11,20,0
